id,reason_for_absence,month_of_absence,day_of_the_week,seasons,transportation_expense,distance_from_residence_to_work,service_time,age,work_load_average_day,hit_target,disciplinary_failure,education,son,social_drinker,social_smoker,pet,weight,height,body_mass_index,absenteeism_time_in_hours,absenteeism_risk,predicted_absenteeism_hours,predicted_absenteeism_risk,employee_cluster
20,23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,low,4.013333333333333,low,0
27,23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,2,low,3.085,low,1
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4,low,3.5035476190476187,low,1
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,4,low,3.465,low,1
5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8,low,9.505,low,0
14,23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2,low,3.208333333333333,low,1
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3,low,3.5035476190476187,low,1
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,low,3.465,low,1
15,23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,4,low,3.72,low,0
20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8,low,9.6,low,0
15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32,high,24.56,high,0
20,0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0,low,0.0,low,0
29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0,low,0.0,low,0
28,23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,2,low,2.3066666666666666,low,0
34,23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2,low,2.515,low,1
11,0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0,low,0.0,low,0
36,0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31,0,low,2.4,low,1
28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,3,low,4.01,low,0
3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,low,2.9675,low,1
13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,low,0.0,low,2
33,23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1,low,1.48,low,0
3,23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,low,2.8225,low,1
20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,4,low,4.39,low,0
3,23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,low,3.020833333333333,low,1
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,low,2.885,low,1
36,0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31,0,low,0.0,low,1
22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,1,low,4.84,low,1
3,23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,low,3.07,low,1
28,23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,low,3.35,low,0
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,low,2.885,low,1
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,low,3.11,low,0
33,23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2,low,1.68,low,0
15,23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,5,low,4.05,low,0
3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8,low,3.0875,low,1
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,low,3.11,low,0
20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16,medium,16.13,medium,0
15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8,low,14.87,low,0
28,28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,low,2.6783333333333332,low,0
11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8,low,7.46,low,0
10,23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,1,low,5.36,low,2
20,28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,3,low,3.634,low,0
3,23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1,low,1.44,low,1
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,low,1.613333333333333,low,0
3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8,low,9.73,low,1
17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,low,8.21,low,1
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5,low,2.29,low,0
14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32,high,45.28,high,1
6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8,low,10.03,low,1
15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40,high,31.76,high,0
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,low,1.613333333333333,low,0
14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8,low,17.6,low,1
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,low,1.613333333333333,low,0
17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,low,8.07,low,1
28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,low,4.06,low,0
20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,4,low,3.87,low,0
33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,1,low,2.76,low,0
28,28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,low,2.631333333333333,low,0
11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24,medium,20.57,medium,0
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,3,low,2.29,low,0
33,23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1,low,1.68,low,0
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64,high,52.919111111111114,high,1
36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,2,low,1.86,low,1
1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8,low,3.2783333333333338,low,0
28,23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,low,2.24,low,0
20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8,low,6.95,low,0
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56,high,52.919111111111114,high,1
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,low,7.53,low,2
28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,3,low,2.83,low,0
20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3,low,3.75,low,0
28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,low,2.04,low,0
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,low,7.53,low,2
34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2,low,3.22,low,1
24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8,low,15.97,low,0
28,23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,low,2.13,low,0
28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,low,1.11,low,0
34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,low,7.396,low,1
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,low,1.6745,low,1
14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8,low,13.54,low,1
28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,low,1.94,low,0
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,low,2.62,low,1
28,28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,low,2.02,low,0
28,27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,low,1.984,low,0
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,1.4762619047619043,low,1
28,27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,low,1.9063095238095238,low,0
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,1.6745,low,1
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,1.88452380952381,low,1
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,2.05,low,1
34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,2.145,low,1
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,1.4762619047619043,low,1
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,1.6745,low,1
22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8,low,7.6,low,1
11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8,low,9.54,low,0
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,1.88452380952381,low,1
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,low,2.62,low,1
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,low,2.05,low,1
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,low,1.4762619047619043,low,1
28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,low,1.181142857142857,low,0
11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,3,low,4.67,low,0
27,23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1,low,3.005,low,1
24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8,low,11.2,low,0
3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8,low,8.03,low,1
14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,2,low,3.0,low,1
6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,low,6.41,low,1
20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2,low,2.463333333333333,low,0
11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8,low,8.04,low,0
31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,low,8.61,low,2
31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,low,8.7,low,2
28,28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,low,2.33,low,0
28,23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,low,1.9,low,0
22,23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19,1,low,2.41,low,1
27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8,low,5.84,low,1
28,25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,3,low,2.5466666666666664,low,0
18,18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,8,low,7.82,low,2
18,23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,1,low,4.0,low,2
28,23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,1,low,1.5,low,0
6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,low,9.9,low,1
19,28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23,2,low,3.732166666666667,low,0
20,19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8,low,12.65,low,0
30,19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,3,low,8.27,low,1
17,17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8,low,6.07,low,1
15,22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25,8,low,8.43,low,0
20,13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8,low,15.07,low,0
22,13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,8,low,7.89,low,1
33,14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,low,4.1,low,0
20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,40,high,32.35,high,0
17,11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,40,high,7.61,high,1
14,1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16,medium,33.62,medium,1
20,26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,16,medium,11.22,medium,0
14,13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,8,low,13.06,low,1
11,6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30,8,low,9.31,low,0
17,8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8,low,8.54,low,1
20,28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,4,low,5.98,low,0
28,23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,low,1.47,low,0
7,14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,8,low,10.92,low,0
3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24,medium,17.26,medium,1
28,23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,low,1.28,low,0
28,11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,low,8.24,low,0
22,13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,1,low,3.16,low,1
28,11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,low,8.75,low,0
28,11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,16,medium,12.3,medium,0
3,13,3,4,3,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,3,low,9.05,low,1
7,14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,16,medium,13.59,medium,0
28,28,3,6,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,low,1.9040000000000001,low,0
33,14,3,6,3,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,low,4.055,low,0
28,28,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,low,1.4933333333333332,low,0
15,28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,low,1.21,low,0
28,23,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,1,low,1.1566666666666667,low,0
14,28,4,3,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,low,1.4355000000000002,low,1
24,13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24,medium,22.54,medium,0
14,23,4,5,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,low,1.65,low,1
28,28,4,6,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,2,low,1.864,low,0
20,28,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,4,low,4.046666666666667,low,0
3,13,4,4,3,179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31,24,medium,18.5,medium,1
36,23,4,5,3,118,13,18,50,326.452,96,0,1,1,1,0,0,98,178,31,1,low,1.14,low,1
15,23,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,3,low,2.63,low,0
24,14,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,8,low,13.91,low,0
15,28,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,low,1.38,low,0
33,28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,8,low,5.69,low,0
20,19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,56,high,41.47,high,0
11,19,4,3,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,8,low,17.785,low,0
14,12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24,medium,14.71,medium,1
23,19,4,4,3,378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21,8,low,12.66,low,2
11,13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,16,medium,15.13,medium,0
1,7,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29,3,low,6.47,low,0
2,0,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33,0,low,0.0,low,0
11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,8,low,14.94,low,0
14,28,5,5,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2,low,1.9340000000000002,low,1
14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,1,low,1.8706666666666667,low,1
3,18,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,8,low,9.46,low,1
28,19,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24,8,low,11.68,low,0
27,7,5,4,3,184,42,7,27,378.884,92,0,1,0,0,0,0,58,167,21,4,low,7.01,low,1
14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2,low,1.8706666666666667,low,1
3,12,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1,low,6.32,low,1
11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,24,medium,14.94,low,0
7,0,5,4,3,279,5,14,39,378.884,92,1,1,2,1,1,0,68,168,24,0,low,0.08,low,0
18,0,5,4,3,330,16,4,28,378.884,92,1,2,0,0,0,0,84,182,25,0,low,0.0,low,2
23,0,5,4,3,378,49,11,36,378.884,92,1,1,2,0,1,4,65,174,21,0,low,0.0,low,2
31,0,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24,0,low,0.08,low,2
3,11,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1,low,5.21,low,1
36,13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,24,medium,20.125,medium,1
10,22,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27,8,low,8.72,low,2
24,19,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,low,16.845,low,0
10,22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,8,low,8.49,low,2
24,10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24,medium,20.0,medium,0
15,23,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25,4,low,3.85,low,0
24,10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,low,11.7,low,0
3,11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,8,low,7.67,low,1
14,23,6,2,3,155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25,4,low,3.1471666666666662,low,1
24,10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,low,12.48,low,0
36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,8,low,12.395,low,1
1,13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,16,medium,12.29,medium,0
36,23,6,3,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,1,low,1.367,low,1
36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,80,high,12.395,low,1
23,22,6,5,3,378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21,8,low,8.34,low,2
3,11,6,6,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,2,low,4.84,low,1
32,28,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36,2,low,4.235333333333333,low,0
28,28,6,5,1,225,26,9,28,377.55,94,0,1,1,0,0,2,69,169,24,2,low,2.65,low,0
14,19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,16,medium,22.135,medium,1
36,1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,8,low,9.745,low,1
34,5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,8,low,6.52,low,1
34,26,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,4,low,5.573333333333334,low,1
18,26,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,low,8.22,low,2
22,18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,8,low,8.22,low,1
14,25,7,6,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,2,low,3.03,low,1
18,1,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,low,7.94,low,2
18,1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,low,7.66,low,2
30,25,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22,3,low,3.634,low,1
10,22,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27,8,low,8.43,low,2
11,26,7,4,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8,low,5.72,low,0
3,26,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31,8,low,4.409833333333333,low,1
